Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,75.040001,75.160004,75.040001,75.160004,52.541725,2300
2009-11-24,75.430000,75.500000,75.300003,75.500000,52.779423,5000
2009-11-25,75.470001,75.739998,75.360001,75.599998,52.849304,6000
2009-11-27,76.440002,76.440002,75.680000,75.730003,52.940197,1900
2009-11-30,75.709999,75.940002,75.709999,75.940002,53.086975,8400
2009-12-01,75.879997,75.970001,75.669998,75.669998,52.898220,9700
2009-12-02,75.680000,75.690002,75.599998,75.599998,52.849304,1900
2009-12-03,75.599998,75.690002,75.470001,75.690002,52.912235,51100
2009-12-04,75.419998,75.470001,75.290001,75.400002,52.709480,9200
2009-12-07,75.500000,75.559998,75.489998,75.550003,52.814339,6100
2009-12-08,75.870003,76.000000,75.660004,75.769997,52.968166,28500
2009-12-09,75.959999,75.959999,75.610001,75.699997,52.919209,6300
2009-12-10,75.570000,75.779999,75.500000,75.760002,52.961128,5200
2009-12-11,75.669998,75.779999,75.379997,75.559998,52.821350,7300
2009-12-14,75.580002,75.730003,75.540001,75.650002,52.884243,11600
2009-12-15,75.610001,75.699997,75.449997,75.639999,52.877254,28600
2009-12-16,76.220001,76.220001,75.699997,75.870003,53.038048,29800
2009-12-17,76.410004,76.410004,75.779999,76.019997,53.142899,10100
2009-12-18,76.059998,76.099998,75.930000,75.949997,53.093960,6500
2009-12-21,75.919998,75.919998,75.459999,75.529999,52.800385,16700
2009-12-22,75.320000,75.379997,75.320000,75.370003,52.688507,7400
2009-12-23,75.580002,75.599998,75.349998,75.430000,52.730446,5400
2009-12-24,75.000000,75.059998,74.910004,74.910004,52.652439,7100
2009-12-28,74.839996,74.839996,74.540001,74.540001,52.392406,14700
2009-12-29,74.790001,74.800003,74.099998,74.779999,52.561047,17100
2009-12-30,74.989998,75.000000,74.760002,74.879997,52.631363,21800
2009-12-31,74.730003,74.919998,74.629997,74.889999,52.638378,107800
2010-01-04,75.209999,75.209999,74.900002,75.160004,52.828152,83000
2010-01-05,75.379997,75.680000,75.349998,75.660004,53.179592,58300
2010-01-06,75.800003,75.820000,75.500000,75.500000,53.067169,15100
2010-01-07,75.800003,75.860001,75.570000,75.739998,53.235840,8900
2010-01-08,75.760002,75.959999,75.599998,75.820000,53.292068,28400
2010-01-11,75.940002,75.949997,75.709999,75.790001,53.270973,22800
2010-01-12,76.559998,76.559998,76.050003,76.169998,53.538078,8900
2010-01-13,76.199997,76.260002,75.910004,75.940002,53.376404,35000
2010-01-14,76.010002,76.129997,75.930000,76.099998,53.488861,37400
2010-01-15,76.199997,76.290001,76.190002,76.209999,53.566166,45500
2010-01-19,76.480003,76.480003,75.870003,76.040001,53.446667,87200
2010-01-20,76.480003,76.480003,76.029999,76.080002,53.474796,20900
2010-01-21,76.070000,76.570000,76.070000,76.320000,53.643494,15300
2010-01-22,76.269997,76.419998,76.250000,76.410004,53.706734,17800
2010-01-25,76.199997,76.300003,76.199997,76.250000,53.594280,21800
2010-01-26,76.220001,76.239998,75.800003,76.099998,53.488861,33700
2010-01-27,76.269997,80.599998,75.919998,75.930000,53.369362,27500
2010-01-28,75.800003,76.139999,75.779999,75.870003,53.327202,37600
2010-01-29,76.129997,76.129997,75.650002,75.959999,53.535812,11600
2010-02-01,76.059998,76.059998,75.860001,75.889999,53.486504,12700
2010-02-02,75.900002,75.949997,75.809998,75.930000,53.514664,23000
2010-02-03,75.830002,75.849998,75.500000,75.709999,53.359608,17300
2010-02-04,75.830002,76.040001,75.610001,76.040001,53.592178,20900
2010-02-05,76.190002,76.190002,75.930000,76.019997,53.578117,18700
2010-02-08,76.139999,76.139999,75.730003,75.989998,53.556984,147900
2010-02-09,75.949997,76.139999,75.809998,75.830002,53.444176,65300
2010-02-10,75.739998,75.800003,75.410004,75.440002,53.169346,26800
2010-02-11,75.470001,75.559998,75.120003,75.370003,53.119972,29400
2010-02-12,76.080002,76.080002,75.389999,75.419998,53.155239,10300
2010-02-16,75.290001,75.599998,75.290001,75.580002,53.268009,25900
2010-02-17,75.290001,75.370003,75.070000,75.290001,53.063599,25600
2010-02-18,75.410004,75.410004,75.059998,75.099998,52.929691,40000
2010-02-19,75.269997,75.419998,75.059998,75.279999,53.056580,18600
2010-02-22,75.510002,75.529999,75.400002,75.410004,53.148193,21300
2010-02-23,75.669998,75.910004,75.400002,75.900002,53.493530,13700
2010-02-24,75.930000,76.059998,75.790001,75.959999,53.535812,11700
2010-02-25,75.830002,76.150002,75.830002,76.050003,53.599266,26500
2010-02-26,76.180000,76.199997,75.830002,76.080002,53.778786,25100
2010-03-01,76.139999,76.190002,76.000000,76.139999,53.821224,23800
2010-03-02,75.910004,76.269997,75.910004,76.250000,53.898941,13500
2010-03-03,76.290001,76.330002,76.199997,76.330002,53.955505,29700
2010-03-04,76.320000,76.459999,76.209999,76.430000,54.026203,30200
2010-03-05,76.470001,76.470001,76.169998,76.239998,53.891876,20200
2010-03-08,76.459999,76.459999,76.150002,76.320000,53.948456,16400
2010-03-09,76.519997,76.519997,76.269997,76.470001,54.054497,23100
2010-03-10,76.379997,76.529999,76.360001,76.529999,54.096855,31800
2010-03-11,76.589996,76.589996,76.230003,76.349998,53.969650,39000
2010-03-12,76.480003,76.639999,76.300003,76.580002,54.132229,11700
2010-03-15,76.540001,76.639999,76.400002,76.580002,54.132229,32600
2010-03-16,76.720001,77.029999,76.709999,76.849998,54.323071,29300
2010-03-17,77.059998,77.199997,76.940002,77.089996,54.492737,12500
2010-03-18,77.000000,77.150002,76.930000,77.010002,54.436203,22900
2010-03-19,76.879997,77.040001,76.760002,76.879997,54.344299,11200
2010-03-22,77.190002,77.209999,76.860001,76.980003,54.414989,50100
2010-03-23,77.239998,77.239998,77.000000,77.000000,54.429096,26400
2010-03-24,76.779999,76.779999,76.330002,76.349998,53.969650,36800
2010-03-25,76.379997,76.379997,75.739998,76.199997,53.863590,33200
2010-03-26,76.199997,76.419998,76.199997,76.400002,54.004997,29700
2010-03-29,76.400002,76.500000,76.250000,76.379997,53.990833,60900
2010-03-30,76.320000,76.389999,76.040001,76.349998,53.969650,19500
2010-03-31,76.370003,76.370003,76.010002,76.250000,54.102329,24100
2010-04-01,76.190002,76.279999,76.099998,76.209999,54.073959,17600
2010-04-05,75.860001,75.860001,75.510002,75.639999,53.669537,45500
2010-04-06,75.480003,75.949997,75.480003,75.919998,53.868210,34700
2010-04-07,76.000000,76.410004,75.790001,76.410004,54.215889,12900
2010-04-08,76.529999,76.529999,76.029999,76.260002,54.109417,17900
2010-04-09,76.199997,76.330002,75.940002,76.160004,54.038475,22500
2010-04-12,76.540001,76.589996,76.180000,76.570000,54.329369,15800
2010-04-13,76.830002,76.830002,76.519997,76.650002,54.386154,25900
2010-04-14,76.949997,76.949997,76.529999,76.629997,54.371956,29700
2010-04-15,76.300003,76.900002,76.300003,76.889999,54.556416,37000
2010-04-16,76.970001,77.160004,76.860001,77.000000,54.634476,25700
2010-04-19,77.050003,77.099998,76.900002,76.959999,54.606098,22500
2010-04-20,77.000000,77.050003,76.900002,77.050003,54.669979,27400
2010-04-21,76.910004,77.300003,76.910004,77.279999,54.833172,18300
2010-04-22,77.610001,77.610001,77.000000,77.120003,54.719639,45100
2010-04-23,77.059998,77.059998,76.720001,77.029999,54.655762,33700
2010-04-26,77.230003,77.230003,76.940002,77.010002,54.641605,35800
2010-04-27,77.389999,77.389999,76.980003,77.339996,54.875710,10700
2010-04-28,77.190002,77.389999,77.019997,77.080002,54.691216,11900
2010-04-29,77.169998,77.250000,77.040001,77.199997,54.776390,33900
2010-04-30,77.089996,77.230003,76.910004,77.220001,54.973576,21700
2010-05-03,77.209999,77.239998,76.860001,77.059998,54.859684,25700
2010-05-04,77.400002,77.480003,77.169998,77.449997,55.137352,41700
2010-05-05,77.620003,77.620003,76.760002,77.110001,54.895287,51800
2010-05-06,77.320000,77.389999,76.639999,76.639999,54.560661,23900
2010-05-07,77.559998,77.760002,76.639999,76.900002,54.745785,39400
2010-05-10,77.769997,77.769997,76.500000,76.919998,54.760029,20000
2010-05-11,77.279999,77.279999,76.769997,77.110001,54.895287,11600
2010-05-12,77.029999,77.269997,76.919998,77.150002,54.923775,29700
2010-05-13,77.110001,77.209999,76.889999,77.150002,54.923775,25300
2010-05-14,77.349998,77.529999,77.089996,77.239998,54.987827,29500
2010-05-17,77.519997,77.519997,77.000000,77.070000,54.866787,28300
2010-05-18,77.160004,77.400002,77.050003,77.290001,55.023422,25100
2010-05-19,77.629997,77.669998,77.300003,77.400002,55.101711,31700
2010-05-20,77.699997,77.699997,77.040001,77.300003,55.030552,43800
2010-05-21,77.699997,77.699997,77.099998,77.389999,55.094608,106600
2010-05-24,77.690002,77.750000,77.339996,77.529999,55.194271,16800
2010-05-25,77.709999,77.709999,77.330002,77.449997,55.137352,67300
2010-05-26,77.309998,77.419998,77.000000,77.349998,55.066128,30900
2010-05-27,77.010002,77.010002,76.620003,76.779999,54.660351,29600
2010-05-28,76.779999,76.779999,76.459999,76.709999,54.831909,22900
2010-06-01,77.470001,77.470001,76.550003,76.760002,54.867661,14500
2010-06-02,76.760002,76.760002,76.440002,76.489998,54.674660,14300
2010-06-03,76.250000,76.570000,76.169998,76.370003,54.588894,53700
2010-06-04,77.339996,77.339996,76.199997,76.760002,54.867661,59600
2010-06-07,77.000000,77.360001,76.930000,77.330002,55.275085,24100
2010-06-08,77.410004,77.410004,77.000000,77.150002,55.146446,54700
2010-06-09,77.150002,77.150002,76.699997,77.000000,55.039207,53200
2010-06-10,76.779999,76.879997,76.250000,76.250000,54.503082,22900
2010-06-11,76.680000,76.860001,76.309998,76.730003,54.846207,56700
2010-06-14,76.690002,76.690002,76.300003,76.639999,54.781849,21800
2010-06-15,76.750000,76.750000,76.389999,76.510002,54.688934,16600
2010-06-16,76.720001,76.800003,76.489998,76.669998,54.803322,37800
2010-06-17,77.050003,77.260002,76.889999,77.070000,55.089214,25100
2010-06-18,77.150002,77.190002,77.050003,77.050003,55.074936,29900
2010-06-21,77.029999,77.190002,76.809998,77.169998,55.160717,29900
2010-06-22,77.269997,77.449997,77.050003,77.400002,55.325100,25400
2010-06-23,77.309998,77.879997,77.309998,77.800003,55.611057,32100
2010-06-24,77.720001,77.860001,77.400002,77.669998,55.518082,43400
2010-06-25,77.639999,77.879997,77.589996,77.800003,55.611057,34200
2010-06-28,78.129997,78.269997,77.949997,78.269997,55.946980,21100
2010-06-29,78.349998,78.400002,78.110001,78.379997,56.025627,25200
2010-06-30,78.199997,78.220001,77.900002,78.199997,56.088734,21300
2010-07-01,78.309998,78.430000,78.139999,78.180000,56.074387,20500
2010-07-02,78.120003,78.120003,77.820000,77.980003,55.930950,27200
2010-07-06,77.790001,78.339996,77.790001,78.290001,56.153286,20600
2010-07-07,78.360001,78.370003,78.120003,78.239998,56.117390,41300
2010-07-08,78.129997,78.180000,78.000000,78.139999,56.045704,44600
2010-07-09,78.169998,78.169998,77.910004,78.099998,56.017006,31100
2010-07-12,78.169998,78.260002,78.059998,78.150002,56.052879,29000
2010-07-13,78.330002,78.330002,78.040001,78.199997,56.088734,35500
2010-07-14,78.529999,78.629997,78.209999,78.610001,56.382797,31100
2010-07-15,78.750000,78.940002,78.660004,78.839996,56.547787,39300
2010-07-16,79.040001,79.260002,79.019997,79.139999,56.762943,24000
2010-07-19,79.239998,79.269997,79.029999,79.099998,56.734241,50100
2010-07-20,79.260002,79.330002,79.019997,79.019997,56.676880,29200
2010-07-21,79.320000,79.540001,79.089996,79.540001,57.049843,59000
2010-07-22,79.489998,79.489998,79.000000,79.410004,56.956600,38600
2010-07-23,79.360001,79.410004,79.139999,79.190002,56.798798,24100
2010-07-26,79.300003,79.379997,79.000000,79.309998,56.884872,18700
2010-07-27,79.389999,79.389999,79.050003,79.300003,56.877697,44800
2010-07-28,79.660004,79.660004,79.220001,79.529999,57.042675,28200
2010-07-29,79.519997,79.760002,79.339996,79.669998,57.143093,40800
2010-07-30,79.690002,79.870003,79.449997,79.849998,57.482834,36500
2010-08-02,79.809998,79.839996,79.599998,79.709999,57.382069,116700
2010-08-03,79.849998,79.940002,79.690002,79.800003,57.446888,134600
2010-08-04,79.800003,79.949997,79.540001,79.550003,57.266903,54800
2010-08-05,79.529999,79.959999,79.529999,79.849998,57.482834,51600
2010-08-06,80.230003,80.269997,79.919998,80.250000,57.770836,46600
2010-08-09,80.199997,80.290001,80.019997,80.019997,57.605255,28100
2010-08-10,80.269997,80.580002,80.019997,80.570000,58.001186,33900
2010-08-11,80.580002,80.699997,80.510002,80.699997,58.094765,54600
