Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,43.250000,44.349998,42.910000,44.000000,32.043839,15828200
2006-01-04,44.000000,45.490002,43.930000,45.430000,33.085262,16828300
2006-01-05,45.230000,45.680000,45.000000,45.209999,32.925041,10866100
2006-01-06,45.549999,47.389999,45.360001,47.360001,34.490822,26689700
2006-01-09,46.939999,47.700001,46.910000,47.570000,34.643749,14562900
2006-01-10,47.160000,48.000000,47.090000,47.380001,34.505383,12886200
2006-01-11,47.549999,49.450001,47.299999,48.799999,35.539532,20006000
2006-01-12,48.599998,49.299999,48.270000,49.000000,35.685188,16641700
2006-01-13,48.919998,49.000000,48.060001,48.639999,35.423008,11708600
2006-01-17,47.419998,48.330002,47.310001,48.119999,35.044308,13164900
2006-01-18,47.419998,48.480000,47.400002,47.750000,34.774845,13203900
2006-01-19,48.220001,48.720001,47.610001,48.669998,35.444839,14107500
2006-01-20,48.520000,48.680000,46.529999,46.959999,34.199528,20935700
2006-01-23,47.160000,47.189999,46.500000,46.919998,34.170391,10815900
2006-01-24,47.250000,48.299999,46.959999,48.070000,35.007900,13906600
2006-01-25,48.220001,48.599998,47.110001,47.580002,34.651047,17278000
2006-01-26,46.740002,48.090000,46.500000,47.500000,34.592777,19732900
2006-01-27,47.560001,48.169998,47.099998,48.020000,34.971474,14465000
2006-01-30,48.090000,48.799999,47.910000,48.570000,35.372028,12418700
2006-01-31,48.369999,48.860001,47.540001,47.959999,34.927780,12809400
2006-02-01,47.330002,48.299999,47.130001,47.930000,34.905937,12480900
2006-02-02,47.590000,47.910000,46.869999,46.880001,34.141262,9859400
2006-02-03,46.549999,46.799999,45.750000,46.080002,33.558636,11569600
2006-02-06,45.820000,46.340000,45.509998,45.930000,33.449402,8961700
2006-02-07,45.849998,46.119999,45.080002,45.730000,33.303745,11864700
2006-02-08,45.849998,47.130001,45.810001,46.970001,34.206806,11592300
2006-02-09,47.049999,47.320000,46.060001,46.160000,33.616905,9714900
2006-02-10,46.400002,46.799999,45.740002,46.660000,33.981026,8898900
2006-02-13,46.299999,46.520000,45.480000,45.950001,33.463959,9316200
2006-02-14,46.360001,47.959999,46.090000,47.599998,34.665607,16978800
2006-02-15,47.270000,47.959999,46.750000,47.340000,34.476250,12619900
2006-02-16,47.490002,48.110001,47.000000,48.099998,35.029736,13906100
2006-02-17,47.750000,48.880001,47.680000,48.310001,35.182671,14806500
2006-02-21,48.080002,48.189999,46.709999,46.939999,34.184963,11795200
2006-02-22,47.000000,48.480000,46.849998,47.779999,34.863533,11531300
2006-02-23,47.470001,47.669998,46.849998,46.930000,34.243317,8423400
2006-02-24,47.090000,47.279999,46.580002,47.189999,34.433037,7123000
2006-02-27,47.130001,48.490002,46.970001,48.349998,35.279461,11439200
2006-02-28,48.169998,48.400002,46.990002,47.160000,34.411148,14225100
2006-03-01,47.230000,48.290001,46.790001,48.029999,35.045944,10745900
2006-03-02,47.349998,48.759998,47.240002,47.830002,34.900024,12840000
2006-03-03,47.459999,48.740002,47.270000,47.630001,34.754086,11380300
2006-03-06,47.549999,48.360001,47.099998,47.240002,34.469509,12531500
2006-03-07,47.889999,48.419998,47.439999,47.860001,34.921909,23360400
2006-03-08,47.959999,49.880001,47.700001,49.529999,36.140476,27269000
2006-03-09,49.560001,49.939999,48.029999,48.099998,35.097034,17084100
2006-03-10,47.970001,48.650002,47.500000,48.000000,35.024075,11782900
2006-03-13,48.650002,48.830002,47.950001,48.209999,35.177296,10254100
2006-03-14,48.099998,49.369999,48.000000,49.250000,35.936146,12899100
2006-03-15,49.410000,49.840000,49.099998,49.810001,36.344769,12722800
2006-03-16,50.310001,51.180000,49.869999,49.869999,36.388550,23760100
2006-03-17,49.959999,50.980000,49.919998,50.770000,37.045238,20416200
2006-03-20,50.630001,50.959999,50.200001,50.310001,36.709602,9716700
2006-03-21,49.590000,51.000000,49.509998,49.590000,36.184231,17392000
2006-03-22,49.459999,50.189999,49.320000,49.750000,36.300972,11553200
2006-03-23,49.680000,49.900002,49.150002,49.580002,36.176960,10005000
2006-03-24,49.689999,50.200001,48.889999,49.349998,36.009117,10102900
2006-03-27,49.480000,50.139999,49.439999,49.709999,36.271793,8258300
2006-03-28,49.580002,50.529999,49.169998,49.360001,36.016422,12904700
2006-03-29,49.619999,51.099998,49.520000,50.720001,37.008762,15647800
2006-03-30,50.939999,51.750000,50.750000,50.849998,37.103622,13533200
2006-03-31,51.160000,51.410000,50.430000,50.610001,36.928493,12090000
2006-04-03,51.139999,51.720001,51.029999,51.180000,37.344414,13950400
2006-04-04,51.040001,51.959999,51.029999,51.810001,37.804111,13997500
2006-04-05,51.689999,51.799999,51.180000,51.669998,37.701950,9794500
2006-04-06,51.750000,51.990002,51.160000,51.759998,37.767616,9981800
2006-04-07,51.910000,52.480000,51.730000,51.959999,37.913544,14131900
2006-04-10,51.779999,52.070000,51.000000,51.580002,37.636280,7279000
2006-04-11,51.630001,52.029999,50.910000,51.389999,37.497635,11033000
2006-04-12,51.639999,51.700001,50.970001,50.970001,37.191174,7223400
2006-04-13,50.930000,51.840000,50.930000,51.480000,37.563309,7865000
2006-04-17,51.419998,51.930000,50.630001,51.020000,37.227657,9425600
2006-04-18,51.380001,52.490002,51.320000,52.029999,37.964645,12104600
2006-04-19,52.490002,52.580002,51.849998,52.500000,38.307575,13482800
2006-04-20,52.310001,52.400002,51.200001,51.840000,37.825993,13473900
2006-04-21,51.720001,52.099998,50.910000,51.389999,37.497635,14823200
2006-04-24,51.070000,52.490002,51.060001,52.299999,38.161648,14477400
2006-04-25,52.450001,52.450001,51.250000,51.500000,37.577919,10246400
2006-04-26,51.599998,51.869999,50.840000,51.080002,37.271435,8972500
2006-04-27,50.770000,52.459999,50.770000,52.029999,37.964645,12374500
2006-04-28,52.209999,52.240002,51.320000,51.340000,37.461159,8186100
2006-05-01,51.459999,51.709999,50.279999,50.650002,36.957676,11135400
2006-05-02,50.700001,51.360001,50.389999,51.060001,37.256836,8765700
2006-05-03,52.240002,52.240002,51.049999,51.750000,37.760330,17971900
2006-05-04,52.020000,53.009998,51.950001,52.340000,38.190830,15770100
2006-05-05,52.709999,53.000000,52.310001,52.560001,38.351368,9867200
2006-05-08,52.360001,52.750000,52.119999,52.660000,38.424324,8924900
2006-05-09,52.779999,52.990002,52.599998,52.740002,38.482697,7634900
2006-05-10,52.470001,52.680000,51.419998,51.660000,37.694645,10550300
2006-05-11,51.529999,51.740002,48.820000,49.400002,36.045597,20572400
2006-05-12,49.340000,49.630001,48.549999,48.990002,35.746441,15023700
2006-05-15,48.560001,48.810001,47.360001,48.630001,35.483761,18531500
2006-05-16,48.750000,49.500000,47.990002,48.189999,35.162697,14159100
2006-05-17,46.330002,47.810001,46.240002,46.900002,34.221428,22356000
2006-05-18,47.250000,47.700001,46.279999,46.349998,33.820110,15346900
2006-05-19,46.299999,47.700001,46.000000,47.070000,34.345474,22835700
2006-05-22,46.450001,47.180000,46.099998,46.630001,34.024426,14452700
2006-05-23,46.889999,47.169998,45.380001,45.380001,33.112339,16391300
2006-05-24,45.119999,45.880001,44.099998,45.590000,33.353771,23278700
2006-05-25,46.000000,46.400002,45.400002,46.060001,33.697620,13203300
2006-05-26,46.230000,46.430000,45.599998,46.029999,33.675667,9158300
2006-05-30,45.610001,45.900002,44.720001,44.720001,32.717281,14906500
2006-05-31,44.730000,45.459999,44.459999,45.209999,33.075771,13529800
2006-06-01,45.200001,47.049999,44.790001,47.049999,34.421909,15979600
2006-06-02,47.599998,47.770000,46.459999,47.000000,34.385323,11744300
2006-06-05,46.669998,46.970001,45.660000,45.680000,33.419617,11276000
2006-06-06,45.680000,46.470001,45.509998,46.169998,33.778095,13510800
2006-06-07,46.360001,46.730000,45.340000,45.480000,33.273296,12261300
2006-06-08,44.810001,45.110001,42.240002,44.450001,32.519737,27982300
2006-06-09,45.000000,45.419998,43.040001,43.439999,31.780834,17768100
2006-06-12,43.270000,43.500000,41.049999,41.189999,30.134712,23465800
2006-06-13,42.709999,42.919998,41.570000,41.840000,30.610252,37462700
2006-06-14,42.209999,43.299999,41.919998,43.250000,31.641817,20368000
2006-06-15,43.650002,45.000000,43.450001,44.889999,32.841637,19466200
2006-06-16,44.740002,45.000000,43.020000,43.950001,32.153938,27558500
2006-06-19,44.310001,44.389999,43.040001,43.389999,31.744253,14534400
2006-06-20,43.630001,44.400002,43.099998,43.910000,32.124676,13471500
2006-06-21,44.040001,45.000000,43.810001,44.200001,32.336826,15806700
2006-06-22,43.869999,43.900002,41.220001,41.380001,30.273718,34940400
2006-06-23,40.209999,40.320000,38.770000,39.500000,28.898315,52917600
2006-06-26,40.000000,40.660000,39.700001,40.090000,29.329952,16723400
2006-06-27,39.900002,40.380001,38.540001,38.689999,28.305712,16616900
2006-06-28,38.970001,39.529999,38.570000,39.470001,28.876354,13703600
2006-06-29,39.980000,40.779999,38.939999,40.540001,29.659172,20038800
2006-06-30,40.740002,40.919998,39.910000,40.070000,29.315334,12742100
2006-07-03,39.470001,39.720001,39.150002,39.459999,28.869043,7048400
2006-07-05,39.380001,39.410000,37.919998,38.169998,27.925274,18874200
2006-07-06,38.180000,38.639999,37.910000,38.470001,28.144753,13692200
2006-07-07,38.150002,38.509998,37.639999,38.000000,27.800903,12650800
2006-07-10,38.150002,38.230000,37.099998,37.799999,27.654577,14609000
2006-07-11,37.560001,39.000000,37.389999,38.869999,28.437393,20633300
2006-07-12,38.779999,39.029999,37.189999,37.549999,27.471682,14079400
2006-07-13,37.169998,37.849998,36.549999,36.560001,26.747396,15504500
2006-07-14,36.490002,37.090000,35.730000,36.369999,26.608389,16502400
2006-07-17,36.990002,37.389999,36.290001,36.560001,26.747396,14544900
2006-07-18,36.750000,37.500000,36.230000,37.400002,27.361938,14295400
2006-07-19,37.400002,37.790001,36.419998,36.730000,26.871771,33124500
2006-07-20,36.259998,37.270000,35.590000,35.849998,26.227955,36654300
2006-07-21,35.000000,35.150002,34.110001,34.439999,25.196386,25940800
2006-07-24,34.560001,35.590000,34.340000,35.380001,25.884108,16133000
2006-07-25,35.299999,35.680000,34.250000,34.279999,25.079340,16285900
2006-07-26,34.360001,35.259998,33.939999,34.980000,25.591461,21221000
2006-07-27,35.160000,35.580002,34.500000,34.520000,25.254923,16460600
2006-07-28,34.950001,35.980000,34.779999,35.790001,26.184057,15672800
2006-07-31,35.590000,35.709999,35.189999,35.259998,25.796307,10633400
2006-08-01,34.919998,34.959999,34.000000,34.480000,25.225664,16525700
2006-08-02,34.500000,34.750000,33.799999,34.369999,25.145184,12716400
2006-08-03,34.130001,35.259998,34.090000,34.860001,25.503674,13833300
2006-08-04,35.439999,35.970001,34.849998,35.310001,25.832880,16099700
2006-08-07,35.299999,35.520000,34.450001,34.599998,25.313452,13443800
2006-08-08,34.000000,34.599998,33.369999,33.860001,24.772074,19591000
2006-08-09,34.160000,35.160000,33.419998,33.529999,24.530645,17762100
2006-08-10,33.400002,34.000000,32.759998,33.900002,24.801332,14521600
2006-08-11,33.610001,33.869999,33.150002,33.310001,24.369684,8743700
2006-08-14,34.080002,34.450001,33.509998,33.590000,24.574539,12297100
2006-08-15,34.430000,35.599998,34.099998,35.450001,25.935316,22562600
2006-08-16,36.279999,37.830002,36.209999,37.830002,27.676519,27239100
2006-08-17,37.689999,38.000000,37.000000,37.200001,27.215626,16916800
2006-08-18,37.240002,37.860001,36.500000,37.320000,27.303413,14042900
2006-08-21,37.000000,37.369999,36.619999,37.099998,27.142456,13028400
2006-08-22,37.150002,38.150002,37.040001,37.509998,27.442408,14493800
2006-08-23,37.630001,37.990002,36.459999,36.650002,26.899296,11923000
2006-08-24,37.000000,37.419998,36.709999,37.270000,27.354338,8763900
2006-08-25,36.939999,37.840000,36.799999,37.380001,27.435080,10448000
2006-08-28,37.450001,37.650002,37.009998,37.180000,27.288288,10442800
2006-08-29,37.240002,37.680000,36.650002,37.590000,27.589193,10962700
2006-08-30,37.650002,38.500000,37.599998,37.910000,27.824068,11706200
2006-08-31,38.200001,38.250000,37.520000,37.669998,27.647919,8546800
2006-09-01,38.330002,38.799999,38.090000,38.349998,28.147015,13679200
2006-09-05,38.360001,39.330002,37.529999,39.189999,28.763533,16198800
2006-09-06,39.099998,39.490002,37.799999,38.040001,27.919483,19418000
2006-09-07,37.840000,38.000000,36.900002,36.970001,27.134159,18274400
2006-09-08,37.099998,37.230000,36.290001,36.540001,26.818563,16883400
2006-09-11,36.139999,37.119999,35.990002,36.810001,27.016726,13755300
2006-09-12,37.400002,38.090000,37.330002,37.650002,27.633245,21906100
2006-09-13,37.830002,37.939999,37.270000,37.299999,27.376364,16226000
2006-09-14,37.119999,37.610001,37.009998,37.200001,27.302967,15214000
2006-09-15,37.509998,37.810001,36.799999,36.810001,27.016726,27469800
2006-09-18,36.910000,37.639999,36.500000,36.599998,26.862595,19695600
2006-09-19,36.900002,37.299999,36.700001,37.099998,27.229570,13963000
2006-09-20,37.000000,38.200001,36.830002,38.110001,27.970863,20166400
2006-09-21,38.240002,39.220001,38.209999,38.480000,28.242428,23147500
2006-09-22,38.500000,38.509998,37.590000,37.860001,27.787371,12617400
2006-09-25,38.200001,38.980000,37.509998,38.669998,28.381870,15413000
2006-09-26,38.689999,39.299999,38.220001,38.430000,28.205730,15802800
2006-09-27,38.490002,38.790001,37.799999,38.130001,27.985542,18369200
2006-09-28,38.160000,38.230000,36.750000,37.020000,27.170853,23546700
2006-09-29,37.209999,37.279999,36.169998,36.349998,26.679106,16856000
2006-10-02,36.110001,36.490002,34.099998,34.660000,25.438730,33287100
2006-10-03,34.730000,35.799999,34.619999,35.400002,25.981855,19379500
2006-10-04,35.400002,35.820000,34.880001,35.820000,26.290112,18615600
2006-10-05,35.860001,36.310001,35.439999,36.259998,26.613050,14728300
2006-10-06,35.980000,36.669998,35.779999,36.369999,26.693789,12749000
2006-10-09,36.270000,36.520000,36.000000,36.240002,26.598377,7990500
2006-10-10,36.419998,37.889999,35.000000,37.070000,27.207550,33428900
2006-10-11,36.950001,37.990002,36.869999,37.759998,27.713978,16964200
2006-10-12,37.939999,39.009998,37.910000,38.939999,28.580046,16636600
2006-10-13,39.139999,39.840000,38.750000,39.840000,29.240595,22416800
2006-10-16,39.700001,40.000000,39.560001,39.820000,29.225922,14313500
2006-10-17,39.470001,39.599998,38.580002,38.939999,28.580046,15012100
2006-10-18,39.169998,39.220001,37.900002,38.119999,27.978205,17854000
2006-10-19,37.310001,38.259998,37.040001,38.180000,28.022238,21946300
2006-10-20,38.340000,38.419998,37.200001,37.919998,27.831406,16516000
2006-10-23,37.880001,38.639999,37.509998,38.080002,27.948841,13494800
2006-10-24,37.650002,37.950001,36.570000,36.709999,26.943327,20196800
2006-10-25,36.680000,37.740002,36.650002,37.509998,27.530485,15486300
2006-10-26,37.770000,38.049999,37.040001,37.990002,27.882795,15014100
2006-10-27,37.919998,38.000000,36.919998,37.139999,27.258936,13137900
2006-10-30,36.689999,36.930000,36.400002,36.740002,26.965349,15543100
2006-10-31,36.970001,37.200001,36.060001,36.389999,26.708467,14697600
2006-11-01,36.799999,36.900002,35.610001,35.730000,26.224060,18774600
2006-11-02,35.750000,36.400002,35.410000,36.360001,26.686447,21291000
2006-11-03,36.290001,37.619999,35.910000,36.470001,26.767174,33224500
2006-11-06,36.450001,36.689999,35.959999,36.139999,26.524975,18815000
2006-11-07,36.099998,37.049999,36.009998,36.389999,26.708467,17794000
2006-11-08,36.310001,36.599998,35.950001,36.279999,26.627724,15973000
2006-11-09,36.070000,36.200001,34.680000,34.830002,25.563503,31773800
2006-11-10,34.889999,35.250000,34.349998,35.240002,25.864422,20316800
2006-11-13,35.900002,36.639999,35.509998,36.200001,26.569014,21433100
2006-11-14,36.310001,37.740002,36.049999,37.560001,27.567186,24482400
2006-11-15,37.529999,38.029999,37.259998,37.700001,27.669941,19185500
2006-11-16,38.049999,38.400002,37.560001,37.799999,27.743326,17215100
2006-11-17,37.599998,37.790001,37.410000,37.630001,27.618567,13663300
2006-11-20,37.310001,37.450001,36.820000,37.150002,27.266275,13358000
2006-11-21,37.209999,37.720001,36.959999,37.610001,27.603886,11977800
2006-11-22,37.529999,37.650002,36.820000,37.349998,27.413050,10503700
2006-11-24,37.080002,37.869999,37.000000,37.580002,27.581873,7461700
2006-11-27,37.330002,37.500000,36.349998,36.450001,26.752495,15634200
2006-11-28,36.380001,36.700001,35.700001,35.849998,26.312136,21740800
2006-11-29,36.049999,36.779999,35.970001,36.650002,26.899296,14628600
2006-11-30,36.529999,36.820000,35.820000,36.590000,26.855255,18364300
2006-12-01,36.500000,36.759998,35.799999,36.349998,26.679106,14102800
2006-12-04,36.689999,37.580002,36.540001,37.500000,27.523138,20931800
2006-12-05,37.750000,39.430000,37.610001,38.740002,28.524523,33695000
2006-12-06,38.759998,39.380001,38.450001,39.180000,28.848503,19753700
2006-12-07,39.520000,40.990002,39.110001,39.139999,28.819056,26866400
2006-12-08,39.000000,40.270000,38.779999,39.540001,29.113586,18041500
2006-12-11,39.250000,39.950001,38.880001,38.930000,28.664429,19600900
2006-12-12,38.820000,39.070000,38.130001,38.869999,28.620255,15862200
2006-12-13,39.250000,39.299999,38.110001,38.430000,28.296274,21437800
2006-12-14,38.580002,39.599998,38.380001,39.410000,29.017843,16745600
2006-12-15,39.599998,40.000000,39.290001,39.500000,29.084124,21097000
2006-12-18,39.689999,40.099998,38.840000,39.070000,28.767504,13646200
2006-12-19,38.720001,38.910000,38.369999,38.490002,28.340446,14448100
2006-12-20,38.500000,39.099998,38.250000,38.310001,28.207924,9897200
2006-12-21,38.310001,38.610001,38.000000,38.540001,28.377264,11799200
